              wavelength     intg_flux  intg_flux_err  profile_flux  profile_flux_err          eqw    eqw_err particle                                     latex_label                              group_label pixel_mask           w1           w2           w3           w4           w5           w6          w_i          w_f    peak_wave     peak_flux       cont  cont_err    m_cont      n_cont  m_cont_err  n_cont_err     snr_line   snr_cont    z_line           amp       center     sigma  gamma  frac  alpha   a   b   c     amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err         v_r    v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels  pixel_vel      FWHM_i     FWHM_p         FWZI       v_med        v_50         v_1         v_5        v_10        v_90        v_95        v_99      chisqr     redchi         aic         bic observations comments
Ar4_4711A_m       4711.0     97.308753       5.234814     96.916357          6.135326     3.711689   0.280797      Ar4  $[ArIV]4711\mathring{A}$+$HeI4713\mathring{A}$                      Ar4_4711A+He1_4713A         no  4664.639652  4680.894598  4707.992152  4720.882185  4723.932671  4738.660669          NaN          NaN  4935.145996     48.081829  26.111122  1.081539 -0.014788   99.093231    0.006421   31.618954    26.475505  24.142563  0.047695     21.951509  4935.693202  1.762340    NaN   NaN    NaN NaN NaN NaN    0.958003    0.080805   0.077958        NaN       NaN        NaN    NaN    NaN    NaN   33.240812   4.908625  107.055843       4.735648       1.443953          NaN      13.0  69.044181         NaN   4.149993          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   32.771532   0.799306   -6.963694   -1.611125           no       no
Ar4_4740A         4740.0     42.292438       5.294833     45.605759          5.172551     1.806293   0.222312      Ar4                        $[ArIV]4740\mathring{A}$                                     none         no  4605.870000  4635.300000  4731.467840  4748.658238  4757.090000  4776.100000          NaN          NaN  4964.779297     39.831825  25.248263  1.206632 -0.007161   60.798891    0.002331   11.428342    23.581099  20.924582  0.047539     15.790194  4965.332830  1.156222    NaN   NaN    NaN NaN NaN NaN    1.236162    0.098667   0.095975        NaN       NaN        NaN    NaN    NaN    NaN   33.424435   5.957919   69.817121       5.795345       1.443953          NaN      17.0  69.015372         NaN   2.722694          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   66.371517   1.070508    7.357248   13.880410           no       no
H1_4861A          4861.0   6796.829216      44.987034   5755.172798         82.052612   233.257974  11.959018       H1                            $HI4861\mathring{A}$                    H1_4861A+H1_4861A_k-1         no  4822.949721  4843.791968  4847.991691  4875.886740  4882.883306  4896.798839  5081.698447  5102.705007  5092.134766   1845.934814  24.672995  1.215078  0.016171  -57.670096    0.007092   36.062299   904.417612  20.305695  0.047576   1707.824668  5092.266470  1.344497    NaN   NaN    NaN NaN NaN NaN   19.085075    0.008911   0.011560        NaN       NaN        NaN    NaN    NaN    NaN  163.554695   0.524910   79.196575       0.680933       9.082224          NaN      26.0  69.023584  207.063858   3.166049  1236.732426    0.000000  -27.487487 -293.285217 -188.403351 -138.819769   94.969427  131.059534  252.246058   59.400137   1.120757   12.398787   24.864011           no       no
H1_4861A_k-1      4861.0   6796.829216      44.987034   1049.525118         94.554810    42.537403   4.367502       H1                        $HI4861\mathring{A}-k_1$                    H1_4861A+H1_4861A_k-1         no  4822.949721  4843.791968  4847.991691  4875.886740  4882.883306  4896.798839  5081.698447  5102.705007  5092.134766   1845.934814  24.672995  1.215078  0.016171  -57.670096    0.007092   36.062299    74.432857  20.305695  0.047581    140.552624  5092.290343  2.975167    NaN   NaN    NaN NaN NaN NaN   12.189413    0.043240   0.077231        NaN       NaN        NaN    NaN    NaN    NaN  164.960960   2.547011  175.249888       4.549231       9.082224          NaN      26.0  69.023584  207.063858   7.005982  1236.732426    0.000000  -27.487487 -293.285217 -188.403351 -138.819769   94.969427  131.059534  252.246058   59.400137   1.120757   12.398787   24.864011           no       no
He1_4922A         4922.0     66.298254       4.652978     59.442406          5.103261     2.414812   0.229115      He1                           $HeI4922\mathring{A}$                                     none         no  4908.010574  4915.542004  4916.334751  4930.423426  4931.480611  4941.288985          NaN          NaN  5155.847656     44.709690  24.615749  0.994263 -0.051869  292.044555    0.019318   99.633304    27.964268  24.757777  0.047507     19.790123  5155.827427  1.192089    NaN   NaN    NaN NaN NaN NaN    1.143932    0.073277   0.071265        NaN       NaN        NaN    NaN    NaN    NaN   -1.176251   4.260773   69.315353       4.143798       4.557702          NaN      14.0  69.013557         NaN   2.807156          NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN         NaN   23.460996   0.868926   -1.375743    2.827849           no       no
O3_4959A          4959.0  13879.837040      92.688131  11652.043083        224.223148   481.088173  20.926719       O3                        $[OIII]4959\mathring{A}$                    O3_4959A+O3_4959A_k-1         no  4929.281844  4946.732665  4947.539600  4972.801550  4972.820372  4984.416360  5181.122184  5204.536691  5193.978027   3453.970703  24.220182  0.944847 -0.001764   33.383649    0.008866   45.991297   885.491795  25.633983  0.047503   3433.269147  5194.566878  1.353337    NaN   NaN    NaN NaN NaN NaN   55.313551    0.012549   0.014717        NaN       NaN        NaN    NaN    NaN    NaN  142.651024   0.724600   78.141886       0.849775       2.279635          NaN      23.0  69.027117  207.062134   3.186865  1351.467551  -34.552631   -0.841489 -261.593244 -153.890060 -119.057611  120.704347  160.902325  272.079006  113.698122   2.644142   53.244603   64.595524           no       no
O3_4959A_k-1      4959.0  13879.837040      92.688131   2252.512324        204.757483    93.001462   9.199616       O3                    $[OIII]4959\mathring{A}-k_1$                    O3_4959A+O3_4959A_k-1         no  4929.281844  4946.732665  4947.539600  4972.801550  4972.820372  4984.416360  5181.122184  5204.536691  5193.978027   3453.970703  24.220182  0.944847 -0.001764   33.383649    0.008866   45.991297    79.189606  25.633983  0.047531    307.037551  5194.707992  2.922999    NaN   NaN    NaN NaN NaN NaN   27.459498    0.041805   0.069943        NaN       NaN        NaN    NaN    NaN    NaN  150.798944   2.413818  168.774448       4.038526       2.279635          NaN      23.0  69.027117  207.062134   6.883138  1351.467551  -34.552631   -0.841489 -261.593244 -153.890060 -119.057611  120.704347  160.902325  272.079006  113.698122   2.644142   53.244603   64.595524           no       no
O3_5007A          5007.0  42719.073716     282.207717  35610.702881        411.148785  1432.983946  71.523959       O3                        $[OIII]5007\mathring{A}$          O3_5007A+O3_5007A_k-1+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081  5229.182899  5262.234075  5244.451660  11096.578125  24.850734  1.206724  0.015706  -57.516790    0.007872   41.309909  1183.105572  20.593551  0.047489  10396.533919  5244.777041  1.366418    NaN   NaN    NaN NaN NaN NaN  119.578197    0.000000   0.000000        NaN       NaN        NaN    NaN    NaN    NaN  138.649302   0.000000   78.140843       0.000000       2.279635          NaN      26.0  69.055359  207.079010   3.217669  1889.328762   68.970512  -16.243889 -273.797204 -173.830785 -129.685977  108.986208  144.276979  298.916992  130.841222   2.725859   57.895709   67.747169           no       no
O3_5007A_k-1      5007.0  42719.073716     282.207717   6796.225484        111.921160   273.481881  14.022889       O3                    $[OIII]5007\mathring{A}-k_1$          O3_5007A+O3_5007A_k-1+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081  5229.182899  5262.234075  5244.451660  11096.578125  24.850734  1.206724  0.015706  -57.516790    0.007872   41.309909   104.593151  20.593551  0.047517    919.111758  5244.919519  2.951253    NaN   NaN    NaN NaN NaN NaN   15.087198    0.000000   0.000000        NaN       NaN        NaN    NaN    NaN    NaN  146.797113   0.000000  168.772196       0.000000       2.279635          NaN      26.0  69.055359  207.079010   6.949669  1889.328762   68.970512  -16.243889 -273.797204 -173.830785 -129.685977  108.986208  144.276979  298.916992  130.841222   2.725859   57.895709   67.747169           no       no
He1_5016A         5016.0  42719.073716     282.207717    187.261231         15.477617     7.535441   0.722358      He1                           $HeI5016\mathring{A}$          O3_5007A+O3_5007A_k-1+He1_5016A         no  4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081  5229.182899  5262.234075  5244.451660  11096.578125  24.850734  1.206724  0.015706  -57.516790    0.007872   41.309909     5.044392  20.593551  0.047422     44.327570  5253.869587  1.688898    NaN   NaN    NaN NaN NaN NaN    2.350616    0.115758   0.107590        NaN       NaN        NaN    NaN    NaN    NaN  119.534473   6.607937   96.409086       6.141665       4.557702          NaN      26.0  69.055359  207.079010   3.977051  1889.328762   68.970512  -16.243889 -273.797204 -173.830785 -129.685977  108.986208  144.276979  298.916992  130.841222   2.725859   57.895709   67.747169           no       no
